Departure Date,Exporter Licence Holder(s),Loading Port(s),Destination Port(s),Duration (days),Discharge Date,Buffalo Load,Buffalo Loss,Buffalo Pct,Cattle Load,Cattle Loss,Cattle Pct,Sheep Load,Sheep Loss,Sheep Pct
Oct-18,Livestock Shipping Services Pty Ltd,Townsville,Panjang/Jakarta ,11,Nov-18,,,,6073,3,0.00049,,,
Oct-18,Australian Rural Exports Pty Ltd,Portland,Jingtang,19,Nov-18,,,,6197,9,0.0015,,,
Oct-18,South East Asian Livestock Services Pty Ltd,Karumba,Jakarta,10,Nov-18,,,,1879,1,0.0005,,,
Oct-18,North Australian Cattle Company Pty Ltd,Townsville,Hon La/Phu My,14,Nov-18,,,,3309,4,0.0012,,,
Oct-18,Australian Rural Exports Pty Ltd,Darwin,Tanjung Priok,5,Nov-18,,,,6306,2,0.00032,,,
Oct-18,North Australian Cattle Company Pty Ltd,Fremantle,Huanghua,16,Nov-18,,,,1975,1,0.0005,,,
Oct-18,Halleen Australasian Livestock Traders Pty Ltd,Geraldton,Kumai,8,Nov-18,,,,2584,3,0.0011,,,
Nov-18,International Livestock Export Pty Ltd,Broome,Panjang,7,Nov-18,,,,2860,0,0,,,
Nov-18,Frontier International Northern Pty Ltd,Darwin,Hon La,11,Nov-18,500,1,0.002,1736,2,0.0012,,,
Nov-18,Landmark Operations Limited,Fremantle,Eilat,21,Nov-18,,,,6582,2,0.0003,,,
Nov-18,Frontier International Northern Pty Ltd,Darwin,Panjang,7,Nov-18,,,,3129,2,0.0006,,,
Nov-18,South East Asian Livestock Services Pty Ltd,Darwin,Hon La,12,Nov-18,449,2,0.0044,826,1,0.0012,,,
Nov-18,North Australian Cattle Company Pty Ltd,Townsville,Jakarta,8,Nov-18,,,,3610,0,0,,,
Nov-18,South East Asian Livestock Services Pty Ltd,Geraldton,Subic,11,Nov-18,,,,1639,4,0.0024,,,
Nov-18,Phoenix Exports Pty Ltd,Fremantle,Muscat,15,Nov-18,,,,,,,14788,36,0.0024
Nov-18,Frontier International North Pty Ltd,Townsville,Haiphong,12,Nov-18,,,,2437,4,0.0016,,,
Nov-18,North Australian Cattle Company Pty Ltd,Fremantle,Hai Phong,17,Nov-18,,,,1835,4,0.00218,,,
Nov-18,Livestock Shipping Services Pty Ltd,Fremantle,Eilat/Aqaba,19,Dec-18,,,,7489,5,0.0006,41301,96,0.0023
Nov-18,Australian Rural Exports Pty Ltd,Darwin,Panjang,6,Nov-18,436,2,0.0046,5935,1,0.00017,,,
Nov-18,Rural Export and Trading (WA) Pty Ltd,Fremantle,Kuwait/Hamad/Jebel Ali,24,Dec-18,,,,312,0,0,58886,153,0.0026
Nov-18,International Livestock Export pty ltd,Broome,Jakarta/Panjang,9,Nov-18,,,,2875,0,0,,,
Nov-18,Livestock Shipping Services Pty Ltd,Fremantle,Cai Lan,14,Nov-18,,,,4976,15,0.003,,,
Nov-18,South East Asian Livestock Services Pty Ltd,Darwin,Cilacap,8,Nov-18,,,,1831,1,0.0005,,,
Nov-18,Frontier International Northern Pty Ltd,Darwin,Surabaya,6,Nov-18,,,,3321,2,0.0006,,,
Nov-18,Hallen Australian Livestock Traders Pty Ltd,Geraldton,Kumai,8,Nov-18,,,,2437,0,0,,,
Nov-18,Edwards Livestock Company Pty Ltd/Otway Livestock Exports Pty Ltd/Australian Rural Exports Pty Ltd,Brisbane,Shinmoji,14,Dec-18,,,,1350,1,0.0007,,,
Nov-18,Australian Rural Exports Pty Ltd,Darwin,Jakarta,5,Nov-18,,,,3553,2,0.00056,,,
Nov-18,Landmark Operations Limited,Portland,Tianjin,21,Dec-18,,,,5606,47,0.0084,,,
Nov-18,Landmark Operations Limited,Fremantle/Geelong,Ashdod/Novorossiysk,38,Dec-18,,,,17115,41,0.0024,2059,15,0.0073
