,Departure Date,Buffalo Load,Buffalo Loss,Buffalo Pct,Cattle Load,Cattle Loss,Cattle Pct,Sheep Load,Sheep Loss,Sheep Pct,Duration (days)
232,Aug-14,,,,4992.0,4.0,0.000801282,,,,11
233,Aug-14,,,,960.0,3.0,0.003125,,,,17
234,Aug-14,,,,3300.0,2.0,0.000606061,,,,13
235,Aug-14,427.0,3.0,0.007025761,984.0,2.0,0.00203252,,,,9
236,Aug-14,,,,2113.0,4.0,0.0018930429999999999,,,,7
237,Aug-14,,,,1675.0,1.0,0.000597015,,,,9
238,Aug-14,,,,3933.0,0.0,0.0,,,,5
239,Aug-14,,,,,,,71186.0,771.0,0.010830781000000001,28
240,Aug-14,,,,2818.0,3.0,0.001064585,,,,6
241,Aug-14,,,,2972.0,0.0,0.0,,,,8
242,Aug-14,,,,1658.0,1.0,0.000603136,,,,13
243,Aug-14,,,,12917.0,16.0,0.001238678,,,,15
244,Aug-14,,,,2831.0,1.0,0.000353232,,,,8
245,Aug-14,,,,1017.0,0.0,0.0,77272.0,505.0,0.006535356,28
246,Aug-14,,,,7070.0,0.0,0.0,,,,8
247,Aug-14,,,,1940.0,0.0,0.0,,,,11
248,Aug-14,,,,3056.0,0.0,0.0,,,,6
249,Aug-14,,,,17449.0,24.0,0.0013754370000000002,,,,16
250,Aug-14,,,,3094.0,0.0,0.0,,,,7
251,Aug-14,,,,2581.0,3.0,0.00116234,,,,11
252,Aug-14,,,,3785.0,2.0,0.000528402,,,,14
253,Sep-14,,,,2622.0,1.0,0.00038138800000000003,,,,9
254,Sep-14,,,,4575.0,0.0,0.0,,,,18
255,Sep-14,,,,3430.0,2.0,0.00058309,,,,8
256,Sep-14,,,,426.0,0.0,0.0,4604.0,80.0,0.017376195,13
257,Sep-14,,,,3150.0,1.0,0.00031746,,,,9
258,Sep-14,252.0,2.0,0.007936508,1153.0,2.0,0.001734605,,,,10
259,Sep-14,,,,6797.0,0.0,0.0,,,,10
260,Sep-14,,,,2148.0,3.0,0.001396648,,,,10
261,Sep-14,423.0,1.0,0.002364066,1009.0,2.0,0.001982161,,,,9
262,Sep-14,,,,19618.0,2.0,0.000101947,,,,13
263,Sep-14,,,,,,,67395.0,434.0,0.006439647,21
264,Sep-14,,,,960.0,0.0,0.0,,,,18
265,Sep-14,,,,8873.0,17.0,0.001915925,,,,9
266,Sep-14,,,,2077.0,0.0,0.0,,,,10
267,Sep-14,,,,2839.0,0.0,0.0,,,,8
268,Sep-14,,,,2383.0,7.0,0.0029374740000000002,,,,12
269,Sep-14,,,,6613.0,7.0,0.001058521,,,,22
270,Sep-14,,,,17085.0,26.0,0.001521803,15072.0,171.0,0.011345541,24
271,Sep-14,,,,2733.0,2.0,0.000731797,,,,13
272,Sep-14,,,,4581.0,16.0,0.003492687,,,,9
273,Sep-14,,,,2139.0,3.0,0.001402525,,,,12
274,Sep-14,,,,17069.0,23.0,0.0013474720000000002,,,,11
275,Sep-14,,,,2099.0,0.0,0.0,,,,10
276,Sep-14,,,,3354.0,5.0,0.001490757,,,,6
277,Sep-14,,,,1986.0,0.0,0.0,,,,8
278,Oct-14,,,,2920.0,0.0,0.0,,,,20
279,Oct-14,359.0,7.0,0.019498607,1582.0,1.0,0.000632111,,,,11
280,Oct-14,,,,18109.0,29.0,0.001601414,,,,17
281,Oct-14,,,,150.0,0.0,0.0,92733.0,771.0,0.008314192,21
282,Oct-14,,,,1981.0,0.0,0.0,,,,9
283,Oct-14,,,,2348.0,3.0,0.001277683,,,,10
284,Oct-14,,,,2534.0,53.0,0.020915549,,,,10
285,Oct-14,,,,3922.0,4.0,0.001019888,,,,13
286,Oct-14,,,,1999.0,0.0,0.0,,,,10
287,Oct-14,,,,1601.0,7.0,0.004372267,,,,10
288,Oct-14,,,,5581.0,14.0,0.002508511,,,,18
289,Oct-14,,,,4315.0,3.0,0.0006952489999999999,,,,20
290,Oct-14,297.0,2.0,0.006734006999999999,979.0,11.0,0.011235955,,,,10
291,Oct-14,,,,1901.0,2.0,0.0010520780000000001,,,,18
292,Oct-14,,,,16020.0,18.0,0.0011235960000000001,,,,24
293,Oct-14,,,,,,,79036.0,546.0,0.006908244,18
294,Oct-14,,,,960.0,0.0,0.0,,,,17
295,Oct-14,,,,1050.0,0.0,0.0,89759.0,386.0,0.004300404,26
296,Oct-14,,,,3396.0,0.0,0.0,,,,5
297,Oct-14,,,,3016.0,12.0,0.00397878,,,,34
298,Oct-14,,,,1700.0,1.0,0.000588235,,,,11
299,Oct-14,,,,3345.0,0.0,0.0,,,,6
300,Nov-14,,,,3169.0,2.0,0.000631114,,,,10
301,Nov-14,,,,2191.0,0.0,0.0,,,,7
302,Nov-14,,,,2371.0,5.0,0.002108815,,,,7
303,Nov-14,,,,1270.0,3.0,0.002362205,,,,9
304,Nov-14,,,,4297.0,0.0,0.0,,,,9
305,Nov-14,,,,2674.0,2.0,0.000747943,,,,9
306,Nov-14,,,,2760.0,2.0,0.000724638,,,,9
307,Nov-14,,,,1743.0,0.0,0.0,,,,9
308,Nov-14,,,,1390.0,6.0,0.0043165470000000004,,,,11
309,Nov-14,,,,6845.0,6.0,0.000876552,,,,7
310,Nov-14,,,,16273.0,13.0,0.0007988689999999999,,,,9
311,Nov-14,,,,4088.0,0.0,0.0,,,,8
312,Nov-14,,,,4500.0,7.0,0.001555556,,,,15
313,Nov-14,,,,3331.0,0.0,0.0,,,,6
314,Nov-14,,,,6638.0,4.0,0.000602591,,,,9
315,Nov-14,,,,3990.0,1.0,0.000250627,,,,7
316,Nov-14,,,,1984.0,1.0,0.000504032,,,,9
317,Nov-14,,,,2453.0,2.0,0.000815328,,,,10
318,Nov-14,,,,3006.0,2.0,0.0006653360000000001,,,,12
319,Nov-14,,,,3756.0,0.0,0.0,,,,6
320,Nov-14,,,,1297.0,0.0,0.0,,,,9
321,Nov-14,,,,4069.0,0.0,0.0,,,,11
322,Nov-14,,,,3195.0,1.0,0.000312989,,,,6
323,Nov-14,,,,1315.0,4.0,0.003041825,,,,10
324,Nov-14,,,,,,,76172.0,891.0,0.011697212,22
325,Nov-14,,,,3814.0,4.0,0.001048768,,,,7
326,Nov-14,,,,1429.0,3.0,0.00209937,500.0,0.0,0.0,12
327,Nov-14,,,,9958.0,21.0,0.002108857,62136.0,528.0,0.008497489,25
328,Dec-14,,,,2297.0,2.0,0.0008707010000000001,,,,21
329,Dec-14,,,,3397.0,2.0,0.000588755,,,,6
330,Dec-14,,,,11797.0,0.0,0.0,,,,9
331,Dec-14,,,,6746.0,4.0,0.000592944,,,,6
332,Dec-14,,,,4158.0,0.0,0.0,,,,5
333,Dec-14,,,,2877.0,2.0,0.0006951689999999999,,,,5
334,Dec-14,,,,2008.0,0.0,0.0,,,,10
335,Dec-14,,,,3500.0,4.0,0.001142857,,,,19
336,Dec-14,,,,2295.0,8.0,0.003485839,,,,20
337,Dec-14,,,,2880.0,1.0,0.00034722199999999995,,,,8
338,Dec-14,,,,1993.0,1.0,0.000501756,,,,12
339,Dec-14,,,,4104.0,0.0,0.0,,,,14
340,Dec-14,,,,3895.0,0.0,0.0,,,,6
341,Dec-14,,,,2918.0,3.0,0.001028101,,,,6
342,Dec-14,,,,3899.0,0.0,0.0,,,,6
343,Dec-14,,,,1894.0,0.0,0.0,,,,9
344,Dec-14,,,,2739.0,0.0,0.0,,,,6
345,Dec-14,,,,6596.0,4.0,0.000606428,,,,5
346,Dec-14,,,,3816.0,1.0,0.000262055,,,,6
347,Dec-14,,,,16639.0,30.0,0.0018,,,,10
348,Dec-14,,,,15788.0,55.0,0.0035,,,,36
349,Dec-14,,,,5411.0,6.0,0.0011,,,,13
